CIP2010 Code,CIP2010Title,SOC2010Code,SOC2010Title
01.0307,Horse Husbandry/Equine Science and Management.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0307,Horse Husbandry/Equine Science and Management.,45-2021,Animal Breeders
01.0308,Agroecology and Sustainable Agriculture.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0308,Agroecology and Sustainable Agriculture.,19-1013,Soil and Plant Scientists
01.0308,Agroecology and Sustainable Agriculture.,19-1031,Conservation Scientists
01.0308,Agroecology and Sustainable Agriculture.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0308,Agroecology and Sustainable Agriculture.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
01.0308,Agroecology and Sustainable Agriculture.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0309,Viticulture and Enology.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0309,Viticulture and Enology.,19-1012,Food Scientists and Technologists
01.0309,Viticulture and Enology.,19-1013,Soil and Plant Scientists
01.0309,Viticulture and Enology.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0309,Viticulture and Enology.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0399,"Agricultural Production Operations, Other.",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0399,"Agricultural Production Operations, Other.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0399,"Agricultural Production Operations, Other.",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0401,Agricultural and Food Products Processing.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0401,Agricultural and Food Products Processing.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0401,Agricultural and Food Products Processing.,45-2011,Agricultural Inspectors
01.0504,Dog/Pet/Animal Grooming.,39-2021,Nonfarm Animal Caretakers
01.0505,Animal Training.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0505,Animal Training.,39-2011,Animal Trainers
01.0507,Equestrian/Equine Studies.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0507,Equestrian/Equine Studies.,39-2011,Animal Trainers
01.0508,Taxidermy/Taxidermist.,NO MATCH,NO MATCH
01.0599,"Agricultural and Domestic Animal Services, Other.",NO MATCH,NO MATCH
01.0601,"Applied Horticulture/Horticulture Operations, General.",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0601,"Applied Horticulture/Horticulture Operations, General.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0601,"Applied Horticulture/Horticulture Operations, General.",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0603,Ornamental Horticulture.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0603,Ornamental Horticulture.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0603,Ornamental Horticulture.,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0604,Greenhouse Operations and Management.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0604,Greenhouse Operations and Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0604,Greenhouse Operations and Management.,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0605,Landscaping and Groundskeeping.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0605,Landscaping and Groundskeeping.,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0605,Landscaping and Groundskeeping.,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
01.0606,Plant Nursery Operations and Management.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0606,Plant Nursery Operations and Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0606,Plant Nursery Operations and Management.,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0606,Plant Nursery Operations and Management.,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
01.0607,Turf and Turfgrass Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0607,Turf and Turfgrass Management.,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
01.0607,Turf and Turfgrass Management.,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
01.0608,Floriculture/Floristry Operations and Management.,41-1011,First-Line Supervisors of Retail Sales Workers
01.0699,"Applied Horticulture/Horticultural Business Services, Other.",NO MATCH,NO MATCH
01.0701,International Agriculture.,19-1012,Food Scientists and Technologists
01.0701,International Agriculture.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0801,Agricultural and Extension Education Services.,25-9021,Farm and Home Management Advisors
01.0802,Agricultural Communication/Journalism.,27-1024,Graphic Designers
01.0802,Agricultural Communication/Journalism.,27-3022,Reporters and Correspondents
01.0802,Agricultural Communication/Journalism.,27-4011,Audio and Video Equipment Technicians
01.0899,"Agricultural Public Services, Other.",NO MATCH,NO MATCH
01.0901,"Animal Sciences, General.",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0901,"Animal Sciences, General.",19-1011,Animal Scientists
01.0901,"Animal Sciences, General.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0901,"Animal Sciences, General.",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0902,Agricultural Animal Breeding.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0902,Agricultural Animal Breeding.,19-1011,Animal Scientists
01.0902,Agricultural Animal Breeding.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0903,Animal Health.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0903,Animal Health.,19-1011,Animal Scientists
01.0903,Animal Health.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0904,Animal Nutrition.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0904,Animal Nutrition.,19-1011,Animal Scientists
01.0904,Animal Nutrition.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0904,Animal Nutrition.,25-9021,Farm and Home Management Advisors
01.0905,Dairy Science.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0905,Dairy Science.,19-1011,Animal Scientists
01.0905,Dairy Science.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0905,Dairy Science.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0906,Livestock Management.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0906,Livestock Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0906,Livestock Management.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0907,Poultry Science.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0907,Poultry Science.,19-1011,Animal Scientists
01.0907,Poultry Science.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0907,Poultry Science.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.0999,"Animal Sciences, Other.",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.0999,"Animal Sciences, Other.",19-1011,Animal Scientists
01.0999,"Animal Sciences, Other.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.0999,"Animal Sciences, Other.",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.1001,Food Science.,19-1012,Food Scientists and Technologists
01.1001,Food Science.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1002,Food Technology and Processing.,19-1012,Food Scientists and Technologists
01.1002,Food Technology and Processing.,19-4011,Agricultural and Food Science Technicians
01.1099,"Food Science and Technology, Other.",NO MATCH,NO MATCH
01.1101,"Plant Sciences, General.",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.1101,"Plant Sciences, General.",19-1013,Soil and Plant Scientists
01.1101,"Plant Sciences, General.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1101,"Plant Sciences, General.",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.1102,Agronomy and Crop Science.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.1102,Agronomy and Crop Science.,19-1013,Soil and Plant Scientists
01.1102,Agronomy and Crop Science.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1102,Agronomy and Crop Science.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
01.1103,Horticultural Science.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.1103,Horticultural Science.,19-1013,Soil and Plant Scientists
01.1103,Horticultural Science.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1104,Agricultural and Horticultural Plant Breeding.,19-1013,Soil and Plant Scientists
01.1104,Agricultural and Horticultural Plant Breeding.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1105,Plant Protection and Integrated Pest Management.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.1105,Plant Protection and Integrated Pest Management.,19-1013,Soil and Plant Scientists
01.1105,Plant Protection and Integrated Pest Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1106,Range Science and Management.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
01.1106,Range Science and Management.,19-1011,Animal Scientists
01.1106,Range Science and Management.,19-1013,Soil and Plant Scientists
01.1106,Range Science and Management.,19-1031,Conservation Scientists
01.1106,Range Science and Management.,25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1106,Range Science and Management.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
01.1199,"Plant Sciences, Other.",19-1013,Soil and Plant Scientists
01.1199,"Plant Sciences, Other.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1201,"Soil Science and Agronomy, General.",19-1013,Soil and Plant Scientists
01.1201,"Soil Science and Agronomy, General.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.1202,Soil Chemistry and Physics.,19-1013,Soil and Plant Scientists
01.1203,Soil Microbiology.,19-1013,Soil and Plant Scientists
01.1203,Soil Microbiology.,19-1022,Microbiologists
01.1299,"Soil Sciences, Other.",19-1013,Soil and Plant Scientists
01.1299,"Soil Sciences, Other.",25-1041,"Agricultural Sciences Teachers, Postsecondary"
01.9999,"Agriculture, Agriculture Operations, and Related Sciences, Other.",NO MATCH,NO MATCH
03.0101,"Natural Resources/Conservation, General.",19-1031,Conservation Scientists
03.0101,"Natural Resources/Conservation, General.",19-1032,Foresters
03.0101,"Natural Resources/Conservation, General.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0103,Environmental Studies.,19-2041,"Environmental Scientists and Specialists, Including Health"
03.0103,Environmental Studies.,25-1053,"Environmental Science Teachers, Postsecondary"
03.0104,Environmental Science.,19-2041,"Environmental Scientists and Specialists, Including Health"
03.0104,Environmental Science.,25-1053,"Environmental Science Teachers, Postsecondary"
03.0199,"Natural Resources Conservation and Research, Other.",NO MATCH,NO MATCH
03.0201,Natural Resources Management and Policy.,19-1031,Conservation Scientists
03.0201,Natural Resources Management and Policy.,19-1032,Foresters
03.0201,Natural Resources Management and Policy.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0204,Natural Resource Economics.,33-3031,Fish and Game Wardens
03.0205,"Water, Wetlands, and Marine Resources Management.",19-1031,Conservation Scientists
03.0205,"Water, Wetlands, and Marine Resources Management.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0206,Land Use Planning and Management/Development.,19-1031,Conservation Scientists
03.0206,Land Use Planning and Management/Development.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0207,Natural Resource Recreation and Tourism.,11-9199,"Managers, All Other"
03.0208,Natural Resources Law Enforcement and Protective Services.,33-1012,First-Line Supervisors of Police and Detectives
03.0208,Natural Resources Law Enforcement and Protective Services.,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
03.0208,Natural Resources Law Enforcement and Protective Services.,33-2011,Firefighters
03.0208,Natural Resources Law Enforcement and Protective Services.,33-2022,Forest Fire Inspectors and Prevention Specialists
03.0208,Natural Resources Law Enforcement and Protective Services.,33-3021,Detectives and Criminal Investigators
03.0208,Natural Resources Law Enforcement and Protective Services.,33-3031,Fish and Game Wardens
03.0208,Natural Resources Law Enforcement and Protective Services.,33-3051,Police and Sheriff's Patrol Officers
03.0208,Natural Resources Law Enforcement and Protective Services.,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
03.0299,"Natural Resources Management and Policy, Other.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0301,Fishing and Fisheries Sciences and Management.,33-3031,Fish and Game Wardens
03.0301,Fishing and Fisheries Sciences and Management.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
03.0301,Fishing and Fisheries Sciences and Management.,45-3011,Fishers and Related Fishing Workers
03.0501,"Forestry, General.",19-1031,Conservation Scientists
03.0501,"Forestry, General.",19-1032,Foresters
03.0501,"Forestry, General.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0502,Forest Sciences and Biology.,19-1031,Conservation Scientists
03.0502,Forest Sciences and Biology.,19-1032,Foresters
03.0502,Forest Sciences and Biology.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0506,Forest Management/Forest Resources Management.,19-1031,Conservation Scientists
03.0506,Forest Management/Forest Resources Management.,19-1032,Foresters
03.0506,Forest Management/Forest Resources Management.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0508,Urban Forestry.,19-1032,Foresters
03.0508,Urban Forestry.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,19-1032,Foresters
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0510,Forest Resources Production and Management.,19-1032,Foresters
03.0510,Forest Resources Production and Management.,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0510,Forest Resources Production and Management.,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
03.0511,Forest Technology/Technician.,19-4093,Forest and Conservation Technicians
03.0599,"Forestry, Other.",19-1032,Foresters
03.0599,"Forestry, Other.",19-4093,Forest and Conservation Technicians
03.0599,"Forestry, Other.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0601,"Wildlife, Fish and Wildlands Science and Management.",19-1023,Zoologists and Wildlife Biologists
03.0601,"Wildlife, Fish and Wildlands Science and Management.",19-1031,Conservation Scientists
03.0601,"Wildlife, Fish and Wildlands Science and Management.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
03.0601,"Wildlife, Fish and Wildlands Science and Management.",33-3031,Fish and Game Wardens
03.9999,"Natural Resources and Conservation, Other.",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
04.0201,Architecture.,11-9041,Architectural and Engineering Managers
04.0201,Architecture.,17-1011,"Architects, Except Landscape and Naval"
04.0201,Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0301,"City/Urban, Community and Regional Planning.",11-9041,Architectural and Engineering Managers
04.0301,"City/Urban, Community and Regional Planning.",19-3051,Urban and Regional Planners
04.0301,"City/Urban, Community and Regional Planning.",25-1031,"Architecture Teachers, Postsecondary"
04.0301,"City/Urban, Community and Regional Planning.",25-1069,"Social Sciences Teachers, Postsecondary, All Other"
04.0401,Environmental Design/Architecture.,11-9041,Architectural and Engineering Managers
04.0401,Environmental Design/Architecture.,17-1011,"Architects, Except Landscape and Naval"
04.0401,Environmental Design/Architecture.,17-1012,Landscape Architects
04.0401,Environmental Design/Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0501,Interior Architecture.,11-9041,Architectural and Engineering Managers
04.0501,Interior Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0501,Interior Architecture.,27-1025,Interior Designers
04.0601,Landscape Architecture.,11-9041,Architectural and Engineering Managers
04.0601,Landscape Architecture.,17-1012,Landscape Architects
04.0601,Landscape Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0801,"Architectural History and Criticism, General.",17-1011,"Architects, Except Landscape and Naval"
04.0801,"Architectural History and Criticism, General.",19-3093,Historians
04.0901,Architectural Technology/Technician.,17-3011,Architectural and Civil Drafters
04.0902,Architectural and Building Sciences/Technology.,11-9041,Architectural and Engineering Managers
04.0902,Architectural and Building Sciences/Technology.,17-3011,Architectural and Civil Drafters
04.0902,Architectural and Building Sciences/Technology.,25-1031,"Architecture Teachers, Postsecondary"
04.0999,"Architectural Sciences and Technology, Other.",17-3011,Architectural and Civil Drafters
04.0999,"Architectural Sciences and Technology, Other.",25-1031,"Architecture Teachers, Postsecondary"
04.1001,Real Estate Development.,11-9141,"Property, Real Estate, and Community Association Managers"
04.1001,Real Estate Development.,13-2021,Appraisers and Assessors of Real Estate
04.1001,Real Estate Development.,19-3051,Urban and Regional Planners
04.1001,Real Estate Development.,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
04.1001,Real Estate Development.,41-9021,Real Estate Brokers
04.1001,Real Estate Development.,41-9022,Real Estate Sales Agents
04.9999,"Architecture and Related Services, Other.",NO MATCH,NO MATCH
05.0101,African Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0102,American/United States Studies/Civilization.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0103,Asian Studies/Civilization.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0104,East Asian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0105,"Russian, Central European, East European and Eurasian Studies.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0106,European Studies/Civilization.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0107,Latin American Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0108,Near and Middle Eastern Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0109,Pacific Area/Pacific Rim Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0110,Russian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0111,Scandinavian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0112,South Asian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0113,Southeast Asian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0114,Western European Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0115,Canadian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0116,Balkans Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0117,Baltic Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0118,Slavic Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0119,Caribbean Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0120,Ural-Altaic and Central Asian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0121,Commonwealth Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0122,"Regional Studies (U.S., Canadian, Foreign)",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0123,Chinese Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0124,French Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0125,German Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0126,Italian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0127,Japanese Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0128,Korean Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0129,Polish Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0130,Spanish and Iberian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0131,Tibetan Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0132,Ukraine Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0133,Irish Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0134,Latin American and Caribbean Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0199,"Area Studies, Other.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0200,Ethnic Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0201,African-American/Black Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0202,American Indian/Native American Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0206,Asian-American Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0207,Women's Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0208,Gay/Lesbian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0209,Folklore Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0210,Disability Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0211,Deaf Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0211,Deaf Studies.,27-3091,Interpreters and Translators
05.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
09.0100,"Communication, General.",25-1122,"Communications Teachers, Postsecondary"
09.0100,"Communication, General.",27-3011,Radio and Television Announcers
09.0100,"Communication, General.",27-3022,Reporters and Correspondents
09.0100,"Communication, General.",27-3031,Public Relations Specialists
09.0100,"Communication, General.",27-3041,Editors
09.0100,"Communication, General.",27-3043,Writers and Authors
09.0101,Speech Communication and Rhetoric.,25-1122,"Communications Teachers, Postsecondary"
09.0101,Speech Communication and Rhetoric.,27-3011,Radio and Television Announcers
09.0101,Speech Communication and Rhetoric.,27-3012,Public Address System and Other Announcers
09.0101,Speech Communication and Rhetoric.,27-3031,Public Relations Specialists
09.0101,Speech Communication and Rhetoric.,27-3043,Writers and Authors
09.0102,Mass Communication/Media Studies.,25-1122,"Communications Teachers, Postsecondary"
09.0102,Mass Communication/Media Studies.,27-3022,Reporters and Correspondents
09.0102,Mass Communication/Media Studies.,27-3041,Editors
09.0102,Mass Communication/Media Studies.,27-3043,Writers and Authors
