2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment distribution, percent, 2022","Employment distribution, percent, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Occupational openings, 2022-32 annual average"
"        Education and childcare administrators, preschool and daycare",11-9031,Line item,74.8,72.6,0.0,0.0,-2.2,-3.0,4.6
"        Education administrators, kindergarten through secondary",11-9032,Line item,300.4,303.7,0.2,0.2,3.3,1.1,20.2
"        Education administrators, postsecondary",11-9033,Line item,218.2,225.9,0.1,0.1,7.7,3.5,15.3
"        Education administrators, all other",11-9039,Line item,57.6,59.2,0.0,0.0,1.6,2.8,4.0
      Architectural and engineering managers,11-9041,Line item,201.5,209.7,0.1,0.1,8.2,4.1,13.6
      Food service managers,11-9051,Line item,357.5,359.2,0.2,0.2,1.6,0.5,39.6
      Entertainment and recreation managers,11-9070,Summary,31.7,34.1,0.0,0.0,2.3,7.3,3.7
        Gambling managers,11-9071,Line item,5.3,5.4,0.0,0.0,0.1,2.6,0.6
"        Entertainment and recreation managers, except gambling",11-9072,Line item,26.4,28.6,0.0,0.0,2.2,8.3,3.1
      Lodging managers,11-9081,Line item,50.8,54.2,0.0,0.0,3.4,6.7,5.4
      Medical and health services managers,11-9111,Line item,509.5,654.2,0.3,0.4,144.7,28.4,54.7
      Natural sciences managers,11-9121,Line item,86.3,90.5,0.1,0.1,4.2,4.8,6.5
      Postmasters and mail superintendents,11-9131,Line item,13.0,12.1,0.0,0.0,-0.9,-6.7,0.8
"      Property, real estate, and community association managers",11-9141,Line item,429.6,453.0,0.3,0.3,23.4,5.4,35.9
      Social and community service managers,11-9151,Line item,178.4,194.6,0.1,0.1,16.2,9.1,16.0
      Emergency management directors,11-9161,Line item,11.8,12.2,0.0,0.0,0.4,3.3,0.9
      Personal service managers,11-9170,Summary,59.4,61.2,0.0,0.0,1.8,3.0,4.5
        Funeral home managers,11-9171,Line item,36.4,37.2,0.0,0.0,0.8,2.2,2.7
"        Personal service managers, all other",11-9179,Line item,23.1,24.1,0.0,0.0,1.0,4.3,1.8
"      Managers, all other",11-9199,Line item,"1,228.3","1,269.4",0.7,0.8,41.0,3.3,94.4
  Business and financial operations occupations,13-0000,Summary,"10,591.1","11,179.7",6.4,6.6,588.6,5.6,911.4
    Business operations specialists,13-1000,Summary,"7,267.5","7,683.5",4.4,4.5,415.9,5.7,648.2
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.9,21.5,0.0,0.0,1.6,8.2,2.1
      Buyers and purchasing agents,13-1020,Line item,494.4,456.3,0.3,0.3,-38.0,-7.7,39.0
"      Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,342.6,331.9,0.2,0.2,-10.7,-3.1,21.5
"        Claims adjusters, examiners, and investigators",13-1031,Line item,329.0,318.7,0.2,0.2,-10.3,-3.1,20.6
"        Insurance appraisers, auto damage",13-1032,Line item,13.6,13.3,0.0,0.0,-0.4,-2.6,0.9
      Compliance officers,13-1041,Line item,377.5,394.7,0.2,0.2,17.2,4.6,31.0
      Cost estimators,13-1051,Line item,231.4,224.9,0.1,0.1,-6.5,-2.8,18.0
      Human resources workers,13-1070,Summary,940.7,991.6,0.6,0.6,51.0,5.4,84.1
        Human resources specialists,13-1071,Line item,874.5,925.9,0.5,0.5,51.4,5.9,78.7
        Farm labor contractors,13-1074,Line item,1.6,1.7,0.0,0.0,0.1,7.4,0.2
        Labor relations specialists,13-1075,Line item,64.6,64.0,0.0,0.0,-0.5,-0.8,5.2
      Logisticians and project management specialists,13-1080,Summary,"1,090.0","1,182.9",0.7,0.7,93.0,8.5,89.9
        Logisticians,13-1081,Line item,208.7,246.9,0.1,0.1,38.3,18.3,21.8
        Project management specialists,13-1082,Line item,881.3,936.0,0.5,0.6,54.7,6.2,68.1
      Management analysts,13-1111,Line item,987.6,"1,083.3",0.6,0.6,95.7,9.7,92.9
"      Meeting, convention, and event planners",13-1121,Line item,132.0,141.9,0.1,0.1,9.9,7.5,15.2
      Fundraisers,13-1131,Line item,124.0,130.5,0.1,0.1,6.5,5.2,9.9
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,98.2,105.1,0.1,0.1,6.9,7.0,7.7
      Training and development specialists,13-1151,Line item,385.8,409.9,0.2,0.2,24.2,6.3,35.4
      Market research analysts and marketing specialists,13-1161,Line item,868.6,985.2,0.5,0.6,116.6,13.4,94.6
"      Business operations specialists, all other",13-1199,Line item,"1,174.8","1,223.6",0.7,0.7,48.7,4.1,107.0
    Financial specialists,13-2000,Summary,"3,323.6","3,496.2",2.0,2.1,172.7,5.2,263.2
      Accountants and auditors,13-2011,Line item,"1,538.4","1,605.8",0.9,0.9,67.4,4.4,126.5
      Property appraisers and assessors,13-2020,Line item,77.6,81.1,0.0,0.0,3.6,4.6,6.9
      Budget analysts,13-2031,Line item,51.6,53.3,0.0,0.0,1.7,3.3,3.6
      Credit analysts,13-2041,Line item,73.0,69.9,0.0,0.0,-3.2,-4.3,4.6
      Financial analysts and advisors,13-2050,Summary,829.1,897.1,0.5,0.5,68.0,8.2,61.3
        Financial and investment analysts,13-2051,Line item,317.2,341.4,0.2,0.2,24.2,7.6,23.0
        Personal financial advisors,13-2052,Line item,327.6,369.6,0.2,0.2,42.0,12.8,25.6
        Insurance underwriters,13-2053,Line item,125.5,122.4,0.1,0.1,-3.0,-2.4,8.2
        Financial risk specialists,13-2054,Line item,58.9,63.7,0.0,0.0,4.8,8.2,4.4
      Financial examiners,13-2061,Line item,65.6,78.5,0.0,0.0,12.8,19.5,6.3
      Credit counselors and loan officers,13-2070,Summary,387.7,399.8,0.2,0.2,12.2,3.1,27.7
        Credit counselors,13-2071,Line item,32.8,34.6,0.0,0.0,1.8,5.4,2.4
        Loan officers,13-2072,Line item,354.8,365.3,0.2,0.2,10.4,2.9,25.3
"      Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,164.6,166.5,0.1,0.1,1.9,1.2,16.5
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,55.0,55.4,0.0,0.0,0.3,0.6,4.1
        Tax preparers,13-2082,Line item,109.5,111.1,0.1,0.1,1.6,1.5,12.4
"      Financial specialists, all other",13-2099,Line item,136.0,144.2,0.1,0.1,8.3,6.1,9.9
  Computer and mathematical occupations,15-0000,Summary,"5,277.6","6,081.4",3.2,3.6,803.8,15.2,411.0
    Computer occupations,15-1200,Summary,"4,929.1","5,631.0",3.0,3.3,701.9,14.2,377.5
      Computer and information analysts,15-1210,Summary,700.3,804.7,0.4,0.5,104.4,14.9,54.3
        Computer systems analysts,15-1211,Line item,531.4,582.6,0.3,0.3,51.1,9.6,37.6
        Information security analysts,15-1212,Line item,168.9,222.2,0.1,0.1,53.2,31.5,16.8
      Computer and information research scientists,15-1221,Line item,36.5,44.8,0.0,0.0,8.3,22.7,3.4
      Computer support specialists,15-1230,Summary,914.1,963.3,0.6,0.6,49.2,5.4,66.5
        Computer network support specialists,15-1231,Line item,177.9,190.4,0.1,0.1,12.5,7.0,13.3
        Computer user support specialists,15-1232,Line item,736.2,772.9,0.4,0.5,36.8,5.0,53.2
      Database and network administrators and architects,15-1240,Summary,669.4,696.4,0.4,0.4,27.0,4.0,40.2
        Computer network architects,15-1241,Line item,180.2,186.6,0.1,0.1,6.3,3.5,10.2
        Database administrators,15-1242,Line item,85.2,91.2,0.1,0.1,6.0,7.0,5.7
        Database architects,15-1243,Line item,64.0,70.4,0.0,0.0,6.4,10.0,4.5
        Network and computer systems administrators,15-1244,Line item,339.9,348.2,0.2,0.2,8.3,2.5,19.8
"      Software and web developers, programmers, and testers",15-1250,Summary,"2,159.4","2,628.6",1.3,1.6,469.2,21.7,179.5
        Computer programmers,15-1251,Line item,147.4,130.8,0.1,0.1,-16.6,-11.2,6.7
        Software developers,15-1252,Line item,"1,594.5","2,004.9",1.0,1.2,410.4,25.7,136.3
        Software quality assurance analysts and testers,15-1253,Line item,200.8,241.6,0.1,0.1,40.8,20.3,17.5
        Web developers,15-1254,Line item,98.8,115.5,0.1,0.1,16.7,17.0,8.3
        Web and digital interface designers,15-1255,Line item,117.9,135.8,0.1,0.1,17.9,15.2,10.7
"      Computer occupations, all other",15-1299,Line item,449.4,493.1,0.3,0.3,43.8,9.7,33.5
    Mathematical science occupations,15-2000,Summary,348.5,450.4,0.2,0.3,101.9,29.2,33.5
      Actuaries,15-2011,Line item,30.0,36.9,0.0,0.0,7.0,23.2,2.3
      Mathematicians,15-2021,Line item,2.3,2.3,0.0,0.0,0.1,2.2,0.1
      Operations research analysts,15-2031,Line item,109.9,134.7,0.1,0.1,24.7,22.5,9.8
      Statisticians,15-2041,Line item,33.3,43.9,0.0,0.0,10.5,31.6,3.3
      Data scientists,15-2051,Line item,168.9,228.2,0.1,0.1,59.4,35.2,17.7
"      Mathematical science occupations, all other",15-2099,Line item,4.1,4.4,0.0,0.0,0.3,6.2,0.3
  Architecture and engineering occupations,17-0000,Summary,"2,611.8","2,746.8",1.6,1.6,134.9,5.2,188.0
"    Architects, surveyors, and cartographers",17-1000,Summary,212.2,221.3,0.1,0.1,9.2,4.3,14.5
"      Architects, except naval",17-1010,Summary,147.3,153.5,0.1,0.1,6.2,4.2,10.0
"        Architects, except landscape and naval",17-1011,Line item,123.7,129.7,0.1,0.1,6.0,4.8,8.2
        Landscape architects,17-1012,Line item,23.6,23.8,0.0,0.0,0.2,0.7,1.8
"      Surveyors, cartographers, and photogrammetrists",17-1020,Summary,64.8,67.8,0.0,0.0,3.0,4.7,4.4
        Cartographers and photogrammetrists,17-1021,Line item,14.0,14.7,0.0,0.0,0.7,5.0,1.0
        Surveyors,17-1022,Line item,50.8,53.1,0.0,0.0,2.3,4.6,3.5
    Engineers,17-2000,Summary,"1,736.1","1,856.6",1.1,1.1,120.5,6.9,111.4
      Aerospace engineers,17-2011,Line item,63.8,67.7,0.0,0.0,3.9,6.1,3.8
      Agricultural engineers,17-2021,Line item,1.6,1.7,0.0,0.0,0.1,6.3,0.1
      Bioengineers and biomedical engineers,17-2031,Line item,19.7,20.7,0.0,0.0,1.0,5.1,1.2
      Chemical engineers,17-2041,Line item,20.8,22.5,0.0,0.0,1.7,8.1,1.3
      Civil engineers,17-2051,Line item,326.3,342.5,0.2,0.2,16.2,5.0,21.2
      Computer hardware engineers,17-2061,Line item,78.1,81.6,0.0,0.0,3.6,4.6,4.6
      Electrical and electronics engineers,17-2070,Summary,299.7,315.5,0.2,0.2,15.8,5.3,17.8
        Electrical engineers,17-2071,Line item,188.8,196.6,0.1,0.1,7.9,4.2,11.0
"        Electronics engineers, except computer",17-2072,Line item,110.9,118.9,0.1,0.1,7.9,7.2,6.9
      Environmental engineers,17-2081,Line item,47.3,50.2,0.0,0.0,2.9,6.1,3.4
"      Industrial engineers, including health and safety",17-2110,Summary,349.3,388.5,0.2,0.2,39.2,11.2,24.1
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,22.0,22.8,0.0,0.0,0.8,3.7,1.3
        Industrial engineers,17-2112,Line item,327.3,365.7,0.2,0.2,38.4,11.7,22.8
      Marine engineers and naval architects,17-2121,Line item,8.0,8.1,0.0,0.0,0.1,0.7,0.4
      Materials engineers,17-2131,Line item,22.3,23.5,0.0,0.0,1.1,5.1,1.5
      Mechanical engineers,17-2141,Line item,286.1,314.7,0.2,0.2,28.5,10.0,19.2
"      Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.5,7.6,0.0,0.0,0.0,0.3,0.4
      Nuclear engineers,17-2161,Line item,13.8,13.9,0.0,0.0,0.1,1.1,0.8
      Petroleum engineers,17-2171,Line item,21.4,21.9,0.0,0.0,0.5,2.5,1.2
"      Engineers, all other",17-2199,Line item,170.3,176.0,0.1,0.1,5.7,3.3,10.4
"    Drafters, engineering technicians, and mapping technicians",17-3000,Summary,663.6,668.8,0.4,0.4,5.2,0.8,62.1
      Drafters,17-3010,Summary,197.3,193.0,0.1,0.1,-4.3,-2.2,16.6
        Architectural and civil drafters,17-3011,Line item,107.1,107.7,0.1,0.1,0.6,0.6,10.0
        Electrical and electronics drafters,17-3012,Line item,21.8,22.0,0.0,0.0,0.2,0.9,1.8
        Mechanical drafters,17-3013,Line item,49.6,46.0,0.0,0.0,-3.6,-7.2,3.5
"        Drafters, all other",17-3019,Line item,18.7,17.3,0.0,0.0,-1.5,-7.8,1.3
"      Engineering technologists and technicians, except drafters",17-3020,Summary,402.1,409.5,0.2,0.2,7.3,1.8,37.8
        Aerospace engineering and operations technologists and technicians,17-3021,Line item,10.2,11.0,0.0,0.0,0.8,8.3,1.0
        Civil engineering technologists and technicians,17-3022,Line item,64.8,65.4,0.0,0.0,0.6,0.9,5.9
        Electrical and electronic engineering technologists and technicians,17-3023,Line item,102.5,103.3,0.1,0.1,0.8,0.8,9.9
        Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.2,14.8,0.0,0.0,-0.4,-2.7,1.3
        Environmental engineering technologists and technicians,17-3025,Line item,13.9,14.1,0.0,0.0,0.2,1.3,1.3
        Industrial engineering technologists and technicians,17-3026,Line item,69.1,71.3,0.0,0.0,2.2,3.2,6.5
        Mechanical engineering technologists and technicians,17-3027,Line item,41.1,41.4,0.0,0.0,0.3,0.6,3.7
        Calibration technologists and technicians,17-3028,Line item,11.3,11.8,0.0,0.0,0.5,4.4,1.1
"        Engineering technologists and technicians, except drafters, all other",17-3029,Line item,74.1,76.4,0.0,0.0,2.3,3.1,7.0
      Surveying and mapping technicians,17-3031,Line item,64.2,66.3,0.0,0.0,2.1,3.3,7.8
"  Life, physical, and social science occupations",19-0000,Summary,"1,473.7","1,563.2",0.9,0.9,89.5,6.1,136.8
    Life scientists,19-1000,Summary,344.4,368.8,0.2,0.2,24.5,7.1,25.4
      Agricultural and food scientists,19-1010,Summary,35.4,37.5,0.0,0.0,2.1,6.0,3.0
        Animal scientists,19-1011,Line item,2.8,2.9,0.0,0.0,0.2,5.7,0.2
        Food scientists and technologists,19-1012,Line item,15.3,16.5,0.0,0.0,1.1,7.5,1.3
        Soil and plant scientists,19-1013,Line item,17.2,18.1,0.0,0.0,0.8,4.7,1.4
      Biological scientists,19-1020,Summary,135.0,141.3,0.1,0.1,6.3,4.7,10.6
        Biochemists and biophysicists,19-1021,Line item,34.5,36.8,0.0,0.0,2.3,6.7,2.8
        Microbiologists,19-1022,Line item,20.9,22.0,0.0,0.0,1.1,5.2,1.7
        Zoologists and wildlife biologists,19-1023,Line item,19.1,19.7,0.0,0.0,0.6,3.0,1.5
"        Biological scientists, all other",19-1029,Line item,60.4,62.7,0.0,0.0,2.3,3.9,4.7
      Conservation scientists and foresters,19-1030,Summary,36.0,37.3,0.0,0.0,1.3,3.5,3.0
        Conservation scientists,19-1031,Line item,24.7,25.7,0.0,0.0,1.0,4.1,2.1
        Foresters,19-1032,Line item,11.3,11.6,0.0,0.0,0.3,2.4,0.9
      Medical scientists,19-1040,Summary,129.1,143.4,0.1,0.1,14.3,11.1,8.3
        Epidemiologists,19-1041,Line item,10.0,12.7,0.0,0.0,2.7,26.7,0.8
"        Medical scientists, except epidemiologists",19-1042,Line item,119.0,130.7,0.1,0.1,11.6,9.8,7.5
"      Life scientists, all other",19-1099,Line item,9.0,9.4,0.0,0.0,0.5,5.2,0.5
    Physical scientists,19-2000,Summary,267.8,282.1,0.2,0.2,14.2,5.3,21.0
      Astronomers and physicists,19-2010,Summary,23.6,24.7,0.0,0.0,1.1,4.7,1.5
        Astronomers,19-2011,Line item,2.4,2.6,0.0,0.0,0.1,4.6,0.2
        Physicists,19-2012,Line item,21.1,22.1,0.0,0.0,1.0,4.7,1.4
      Atmospheric and space scientists,19-2021,Line item,10.5,11.0,0.0,0.0,0.5,4.4,0.9
      Chemists and materials scientists,19-2030,Summary,95.0,100.8,0.1,0.1,5.8,6.1,7.2
        Chemists,19-2031,Line item,87.1,92.5,0.1,0.1,5.4,6.2,6.6
        Materials scientists,19-2032,Line item,7.9,8.3,0.0,0.0,0.4,5.1,0.6
      Environmental scientists and geoscientists,19-2040,Summary,113.3,119.6,0.1,0.1,6.3,5.6,9.6
"        Environmental scientists and specialists, including health",19-2041,Line item,80.5,85.3,0.0,0.1,4.9,6.1,6.9
"        Geoscientists, except hydrologists and geographers",19-2042,Line item,26.3,27.6,0.0,0.0,1.3,5.1,2.2
        Hydrologists,19-2043,Line item,6.6,6.7,0.0,0.0,0.1,1.5,0.5
"      Physical scientists, all other",19-2099,Line item,25.4,25.9,0.0,0.0,0.5,2.1,1.7
    Social scientists and related workers,19-3000,Summary,326.1,342.1,0.2,0.2,16.0,4.9,23.3
      Economists,19-3011,Line item,17.6,18.7,0.0,0.0,1.1,6.3,1.2
      Survey researchers,19-3022,Line item,8.8,8.4,0.0,0.0,-0.3,-3.8,0.7
      Psychologists,19-3030,Summary,196.0,208.0,0.1,0.1,12.0,6.1,12.8
        Industrial-organizational psychologists,19-3032,Line item,10.1,10.6,0.0,0.0,0.6,5.9,0.7
        Clinical and counseling psychologists,19-3033,Line item,67.5,75.2,0.0,0.0,7.7,11.4,4.1
        School psychologists,19-3034,Line item,62.2,63.0,0.0,0.0,0.8,1.3,4.1
"        Psychologists, all other",19-3039,Line item,56.3,59.1,0.0,0.0,2.9,5.1,3.9
      Sociologists,19-3041,Line item,3.3,3.4,0.0,0.0,0.1,4.5,0.3
      Urban and regional planners,19-3051,Line item,44.7,46.4,0.0,0.0,1.7,3.7,3.7
      Miscellaneous social scientists and related workers,19-3090,Summary,55.7,57.2,0.0,0.0,1.5,2.7,4.7
        Anthropologists and archeologists,19-3091,Line item,8.0,8.3,0.0,0.0,0.3,4.2,0.7
        Geographers,19-3092,Line item,1.5,1.5,0.0,0.0,0.0,1.1,0.1
        Historians,19-3093,Line item,3.5,3.6,0.0,0.0,0.1,3.1,0.3
        Political scientists,19-3094,Line item,6.2,6.6,0.0,0.0,0.4,6.6,0.6
"        Social scientists and related workers, all other",19-3099,Line item,36.5,37.2,0.0,0.0,0.6,1.7,3.0
"    Life, physical, and social science technicians",19-4000,Summary,397.0,414.1,0.2,0.2,17.1,4.3,49.9
      Agricultural and food science technicians,19-4010,Summary,38.8,40.7,0.0,0.0,1.9,4.9,5.5
        Agricultural technicians,19-4012,Line item,17.6,18.4,0.0,0.0,0.8,4.5,2.5
        Food science technicians,19-4013,Line item,21.2,22.3,0.0,0.0,1.1,5.2,3.0
      Biological technicians,19-4021,Line item,81.4,85.3,0.0,0.1,3.9,4.7,10.6
      Chemical technicians,19-4031,Line item,58.8,60.7,0.0,0.0,1.9,3.2,7.1
      Environmental science and geoscience technicians,19-4040,Summary,47.5,49.9,0.0,0.0,2.3,4.9,5.1
"        Environmental science and protection technicians, including health",19-4042,Line item,35.0,37.1,0.0,0.0,2.0,5.8,3.8
"        Geological technicians, except hydrologic technicians",19-4043,Line item,9.4,9.6,0.0,0.0,0.3,3.1,1.0
        Hydrologic technicians,19-4044,Line item,3.1,3.1,0.0,0.0,0.0,0.4,0.3
      Nuclear technicians,19-4051,Line item,5.9,5.8,0.0,0.0,-0.1,-1.3,0.6
      Social science research assistants,19-4061,Line item,34.4,36.0,0.0,0.0,1.6,4.8,4.4
      Forest and conservation technicians,19-4071,Line item,31.5,31.7,0.0,0.0,0.2,0.6,3.8
"      Miscellaneous life, physical, and social science technicians",19-4090,Summary,98.6,103.9,0.1,0.1,5.4,5.5,12.8
        Forensic science technicians,19-4092,Line item,18.5,20.8,0.0,0.0,2.3,12.6,2.6
"        Life, physical, and social science technicians, all other",19-4099,Line item,80.0,83.1,0.0,0.0,3.0,3.8,10.2
    Occupational health and safety specialists and technicians,19-5000,Summary,138.4,156.1,0.1,0.1,17.7,12.8,17.2
      Occupational health and safety specialists,19-5011,Line item,113.8,128.9,0.1,0.1,15.2,13.3,14.2
      Occupational health and safety technicians,19-5012,Line item,24.7,27.2,0.0,0.0,2.5,10.1,3.0
  Community and social service occupations,21-0000,Summary,"2,936.5","3,164.2",1.8,1.9,227.7,7.8,281.6
"    Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,422.9","2,649.1",1.5,1.6,226.2,9.3,233.4
      Counselors,21-1010,Summary,954.8,"1,068.7",0.6,0.6,113.9,11.9,89.2
"        Educational, guidance, and career counselors and advisors",21-1012,Line item,342.4,360.8,0.2,0.2,18.4,5.4,26.6
        Marriage and family therapists,21-1013,Line item,71.2,81.8,0.0,0.0,10.6,14.9,5.9
        Rehabilitation counselors,21-1015,Line item,84.8,86.4,0.1,0.1,1.6,1.9,6.7
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,388.2,459.6,0.2,0.3,71.5,18.4,42.0
"        Counselors, all other",21-1019,Line item,68.2,80.0,0.0,0.0,11.7,17.2,8.0
      Social workers,21-1020,Summary,728.6,782.5,0.4,0.5,53.8,7.4,63.8
"        Child, family, and school social workers",21-1021,Line item,355.3,374.3,0.2,0.2,18.9,5.3,29.5
        Healthcare social workers,21-1022,Line item,191.4,209.8,0.1,0.1,18.4,9.6,18.7
        Mental health and substance abuse social workers,21-1023,Line item,113.5,125.5,0.1,0.1,12.0,10.6,9.5
"        Social workers, all other",21-1029,Line item,68.4,72.9,0.0,0.0,4.5,6.6,6.0
      Miscellaneous community and social service specialists,21-1090,Summary,739.5,797.9,0.4,0.5,58.4,7.9,80.5
        Health education specialists,21-1091,Line item,60.4,64.8,0.0,0.0,4.4,7.2,6.6
        Probation officers and correctional treatment specialists,21-1092,Line item,93.9,96.2,0.1,0.1,2.4,2.5,7.4
        Social and human service assistants,21-1093,Line item,415.1,450.6,0.3,0.3,35.6,8.6,47.4
        Community health workers,21-1094,Line item,67.2,76.6,0.0,0.0,9.4,14.1,8.0
"        Community and social service specialists, all other",21-1099,Line item,103.0,109.7,0.1,0.1,6.7,6.5,11.1
    Religious workers,21-2000,Summary,513.5,515.1,0.3,0.3,1.5,0.3,48.2
      Clergy,21-2011,Line item,266.7,268.2,0.2,0.2,1.5,0.6,21.9
"      Directors, religious activities and education",21-2021,Line item,171.0,170.6,0.1,0.1,-0.4,-0.2,16.3
"      Religious workers, all other",21-2099,Line item,75.8,76.2,0.0,0.0,0.4,0.6,10.0
  Legal occupations,23-0000,Summary,"1,362.4","1,442.3",0.8,0.9,80.0,5.9,91.7
"    Lawyers, judges, and related workers",23-1000,Summary,894.5,958.5,0.5,0.6,64.0,7.2,42.2
      Lawyers and judicial law clerks,23-1010,Summary,842.6,905.3,0.5,0.5,62.7,7.4,40.1
        Lawyers,23-1011,Line item,826.3,888.7,0.5,0.5,62.4,7.5,39.1
        Judicial law clerks,23-1012,Line item,16.3,16.6,0.0,0.0,0.4,2.3,1.0
"      Judges, magistrates, and other judicial workers",23-1020,Summary,51.9,53.2,0.0,0.0,1.3,2.4,2.1
"        Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,13.2,13.4,0.0,0.0,0.1,1.1,0.5
"        Arbitrators, mediators, and conciliators",23-1022,Line item,9.1,9.6,0.0,0.0,0.5,5.0,0.4
"        Judges, magistrate judges, and magistrates",23-1023,Line item,29.6,30.2,0.0,0.0,0.7,2.2,1.2
    Legal support workers,23-2000,Summary,467.9,483.8,0.3,0.3,16.0,3.4,49.4
      Paralegals and legal assistants,23-2011,Line item,354.3,369.1,0.2,0.2,14.8,4.2,38.0
      Miscellaneous legal support workers,23-2090,Summary,113.6,114.7,0.1,0.1,1.1,1.0,11.4
"        Title examiners, abstractors, and searchers",23-2093,Line item,62.2,63.3,0.0,0.0,1.0,1.7,6.0
"        Legal support workers, all other",23-2099,Line item,51.4,51.5,0.0,0.0,0.1,0.2,5.4
  Educational instruction and library occupations,25-0000,Summary,"9,354.1","9,570.6",5.7,5.7,216.5,2.3,857.6
    Postsecondary teachers,25-1000,Summary,"1,709.8","1,826.8",1.0,1.1,117.0,6.8,149.2
"      Business teachers, postsecondary",25-1011,Line item,99.9,106.9,0.1,0.1,6.9,6.9,8.7
"      Math and computer science teachers, postsecondary",25-1020,Summary,98.0,102.0,0.1,0.1,4.0,4.1,8.2
"        Computer science teachers, postsecondary",25-1021,Line item,42.0,44.3,0.0,0.0,2.2,5.3,3.6
"        Mathematical science teachers, postsecondary",25-1022,Line item,55.9,57.7,0.0,0.0,1.8,3.2,4.6
"      Engineering and architecture teachers, postsecondary",25-1030,Summary,53.7,58.2,0.0,0.0,4.5,8.4,4.8
"        Architecture teachers, postsecondary",25-1031,Line item,8.2,8.5,0.0,0.0,0.3,3.8,0.7
"        Engineering teachers, postsecondary",25-1032,Line item,45.5,49.7,0.0,0.0,4.2,9.3,4.1
